2023 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2024),2023 Passengers (10% sample)
1,LAX,Los Angeles International,Los Angeles,CA,356.56,436.61,"12,53,716"
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,344.89,422.32,"10,32,358"
3,DEN,Denver International,Denver,CO,300.48,367.95,"9,95,251"
4,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,370.49,453.67,"9,81,435"
5,EWR,Newark Liberty International,Newark,NJ,407.21,498.63,"9,30,056"
6,BOS,Logan International,Boston,MA,337.73,413.56,"9,20,214"
7,SEA,Seattle/Tacoma International,Seattle,WA,336.51,412.07,"8,61,535"
8,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,402.57,492.95,"8,36,341"
9,MCO,Orlando International,Orlando,FL,251.75,308.27,"8,28,554"
10,SFO,San Francisco International,San Francisco,CA,397.16,486.33,"8,11,808"
11,PHX,Phoenix Sky Harbor International,Phoenix,AZ,348.77,427.08,"7,93,797"
12,LGA,LaGuardia,New York-La Guardia,NY,334.38,409.46,"7,30,774"
13,JFK,John F. Kennedy International,New York-JFK,NY,402.31,492.64,"7,15,113"
14,LAS,Harry Reid International,Las Vegas,NV,243.05,297.62,"6,72,945"
15,MSP,Minneapolis-St Paul International,Minneapolis,MN,367.09,449.51,"6,12,265"
16,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,406.9,498.25,"5,91,987"
17,PHL,Philadelphia International,Philadelphia,PA,370.65,453.86,"5,81,785"
18,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,257.61,315.45,"5,69,566"
19,SAN,San Diego International,San Diego,CA,327.6,401.15,"5,66,704"
20,DTW,Detroit Metro Wayne County,Detroit,MI,378.03,462.9,"5,44,649"
21,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,372.2,455.76,"5,16,012"
22,TPA,Tampa International,Tampa,FL,308.48,377.74,"5,05,498"
23,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,324.64,397.53,"4,71,540"
24,AUS,Austin - Bergstrom International,Austin,TX,339.52,415.75,"4,68,640"
25,MIA,Miami International,Miami,FL,335.34,410.63,"4,65,197"
26,PDX,Portland International,Portland,OR,338.41,414.39,"4,23,065"
27,BNA,Nashville International,Nashville,TN,336.26,411.75,"4,15,942"
28,CLT,Charlotte Douglas International,Charlotte,NC,411.88,504.35,"4,06,215"
29,SLC,Salt Lake City International,Salt Lake City,UT,376.25,460.72,"4,04,065"
30,RDU,Raleigh-Durham International,Raleigh/Durham,NC,329.6,403.59,"3,77,142"
31,SMF,Sacramento International,Sacramento,CA,334.84,410.02,"3,46,768"
32,HNL,Daniel K Inouye International,Honolulu,HI,343.89,421.1,"3,43,489"
33,MDW,Chicago Midway International,Chicago-Midway,IL,310.71,380.47,"3,42,441"
34,STL,St Louis Lambert International,St. Louis,MO,367.13,449.55,"3,03,255"
35,SJC,Norman Y. Mineta San Jose International,San Jose,CA,295.91,362.35,"2,93,529"
36,IAD,Washington Dulles International,Washington-Dulles,DC,456.06,558.45,"2,92,444"
37,MCI,Kansas City International,Kansas City,MO,365,446.94,"2,82,101"
38,DAL,Dallas Love Field,Dallas-Love Field,TX,319.69,391.46,"2,74,687"
39,IND,Indianapolis International,Indianapolis,IN,360.7,441.68,"2,68,397"
40,CLE,Cleveland-Hopkins International,Cleveland,OH,316.18,387.16,"2,68,394"
41,SNA,John Wayne Airport-Orange County,Santa Ana,CA,384.67,471.03,"2,68,194"
42,OAK,Metro Oakland International,Oakland,CA,295.91,362.34,"2,68,118"
43,SAT,San Antonio International,San Antonio,TX,358.86,439.44,"2,61,976"
44,MSY,Louis Armstrong New Orleans International,New Orleans,LA,295.42,361.74,"2,60,447"
45,PIT,Pittsburgh International,Pittsburgh,PA,355.88,435.78,"2,53,479"
46,SJU,Luis Munoz Marin International,San Juan,PR,281.33,344.49,"2,52,759"
47,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,327.66,401.22,"2,43,473"
48,CMH,John Glenn Columbus International,Columbus,OH,359.4,440.09,"2,25,783"
49,HOU,William P Hobby,Houston-Hobby,TX,339.28,415.45,"2,15,872"
50,RSW,Southwest Florida International,Fort Myers,FL,307.17,376.13,"1,97,390"
51,BDL,Bradley International,Hartford,CT,377.71,462.51,"1,96,921"
52,PBI,Palm Beach International,West Palm Beach/Palm Beach,FL,337.61,413.41,"1,85,939"
53,JAX,Jacksonville International,Jacksonville,FL,340.54,416.99,"1,81,957"
54,ONT,Ontario International,Ontario,CA,335,410.21,"1,79,868"
55,MKE,General Mitchell International,Milwaukee,WI,348.61,426.87,"1,72,259"
56,BUR,Bob Hope,Burbank,CA,279.28,341.98,"1,66,485"
57,RIC,Richmond International,Richmond,VA,393.69,482.07,"1,40,508"
58,CHS,Charleston AFB/International,Charleston,SC,353.36,432.7,"1,38,997"
59,OMA,Eppley Airfield,Omaha,NE,369.9,452.95,"1,37,674"
60,BUF,Buffalo Niagara International,Buffalo,NY,316.21,387.21,"1,31,633"
61,MEM,Memphis International,Memphis,TN,386.02,472.69,"1,29,884"
62,BOI,Boise Air Terminal,Boise,ID,351.11,429.93,"1,27,913"
63,ABQ,Albuquerque International Sunport,Albuquerque,NM,368.31,451,"1,26,659"
64,ORF,Norfolk International,Norfolk,VA,401.16,491.23,"1,24,459"
65,SDF,Louisville Muhammad Ali International,Louisville,KY,379.19,464.32,"1,18,896"
66,ELP,El Paso International,El Paso,TX,374.29,458.33,"1,15,210"
67,OKC,Will Rogers World,Oklahoma City,OK,389.49,476.94,"1,14,953"
68,GRR,Gerald R. Ford International,Grand Rapids,MI,374.78,458.92,"1,13,422"
69,OGG,Kahului Airport,Kahului,HI,273.27,334.62,"1,12,210"
70,ANC,Ted Stevens Anchorage International,Anchorage,AK,449.73,550.7,"1,10,792"
71,GEG,Spokane International,Spokane,WA,353.36,432.69,"1,07,983"
72,PVD,Rhode Island Tf Green International,Providence,RI,337.59,413.38,"1,05,267"
73,RNO,Reno/Tahoe International,Reno,NV,346.56,424.37,"1,03,006"
74,TUS,Tucson International,Tucson,AZ,388.44,475.64,"1,01,796"
75,LGB,Long Beach Airport,Long Beach,CA,231.61,283.61,"91,391"
76,DSM,Des Moines International,Des Moines,IA,381.76,467.47,"91,016"
77,SYR,Syracuse Hancock International,Syracuse,NY,357.39,437.63,"87,283"
78,SRQ,Sarasota/Bradenton International,Sarasota/Bradenton,FL,353.07,432.34,"84,841"
79,TUL,Tulsa International,Tulsa,OK,402.55,492.93,"84,388"
80,ALB,Albany International,Albany,NY,386.14,472.83,"80,925"
81,BHM,Birmingham-Shuttlesworth International,Birmingham,AL,444.62,544.45,"80,899"
82,SAV,Savannah/Hilton Head International,Savannah,GA,365.39,447.42,"80,755"
