Month_Year,ORIGIN_AIRPORT_ID_origin,DEST_AIRPORT_ID,flight_count,DEP_DELAY,ARR_DELAY,CANCELLED,estimated_demand,Average Fare ($)_origin,ORIGIN_AIRPORT_ID_dest,Average Fare ($)_dest,adjusted_demand
2018-01,ABE,ATL,29,19.96551724137931,13.206896551724139,0.0,29.0,322.7,ATL,360.85,19.720357973890188
2018-01,ABE,FLL,9,14.444444444444445,18.0,0.0,9.0,322.7,FLL,245.35,6.501791889898347
2018-01,ABE,PGD,10,-2.8,-8.2,0.0,10.0,322.7,PGD,128.64,7.7100904556406125
2018-01,ABE,PIE,9,-1.1111111111111112,-14.222222222222221,0.0,9.0,322.7,PIE,128.05,6.941441505788747
2018-01,ABE,SFB,31,33.67741935483871,27.225806451612904,0.0,31.0,322.7,SFB,122.74,23.982822201459857
2018-01,ABQ,ATL,50,9.285714285714286,-3.326530612244898,0.02,49.0,345.6,ATL,360.85,32.929752322728
2018-01,ABQ,AUS,19,4.473684210526316,-3.3157894736842106,0.0,19.0,345.6,AUS,341.51,12.89543818850293
2018-01,ABQ,BWI,31,-1.4838709677419355,-8.0,0.0,31.0,345.6,BWI,318.44,21.292064887758627
2018-01,ABQ,DAL,141,8.163120567375886,2.3,0.0,141.0,345.6,DAL,303.32,97.61120903373944
2018-01,ABQ,DEN,178,3.361581920903955,-2.8983050847457625,0.0056179775280898875,177.0,345.6,DEN,302.55,122.58263875893334
2018-01,ABQ,DFW,109,-1.1203703703703705,-7.074074074074074,0.009174311926605505,108.0,345.6,DFW,383.43,71.7563510015439
2018-01,ABQ,HOU,86,6.25,-3.5180722891566263,0.023255813953488372,84.0,345.6,HOU,338.79,57.09112094653638
2018-01,ABQ,IAH,7,-2.0,-12.857142857142858,0.0,7.0,345.6,IAH,413.66,4.581283331692897
2018-01,ABQ,JFK,19,-1.7777777777777777,-2.3333333333333335,0.05263157894736842,18.0,345.6,JFK,390.2,11.918845431650892
2018-01,ABQ,LAS,120,5.6,-2.575,0.0,120.0,345.6,LAS,240.35,85.90560007288246
2018-01,ABQ,LAX,65,5.7846153846153845,-3.6,0.0,65.0,345.6,LAX,352.79,43.862008264052925
2018-01,ABQ,MCI,31,-0.6774193548387096,-10.290322580645162,0.0,31.0,345.6,MCI,348.32,20.966634370233432
2018-01,ABQ,MDW,38,2.1052631578947367,-1.054054054054054,0.0,38.0,345.6,MDW,305.63,26.274789111755457
2018-01,ABQ,MSP,2,-3.5,0.0,0.0,2.0,345.6,MSP,372.21,1.33635564023911
2018-01,ABQ,OAK,62,5.016129032258065,-6.548387096774194,0.0,62.0,345.6,OAK,287.64,43.27652175197594
2018-01,ABQ,ORD,31,-3.7,-5.5,0.03225806451612903,30.0,345.6,ORD,338.55,20.39220174462959
2018-01,ABQ,PHX,169,13.591715976331361,11.52662721893491,0.0,169.0,345.6,PHX,338.57,114.87488871674218
2018-01,ABQ,SAN,58,9.017241379310345,-1.5172413793103448,0.0,58.0,345.6,SAN,326.66,39.66738957801045
2018-01,ABQ,SEA,3,-1.0,-5.0,0.0,3.0,345.6,SEA,337.31,2.0405209383759684
2018-01,ABQ,SLC,34,-6.264705882352941,-21.823529411764707,0.0,34.0,345.6,SLC,359.45,22.86548612895611
2018-01,ACY,FLL,93,5.943820224719101,-0.5617977528089888,0.043010752688172046,89.0,114.65,FLL,245.35,72.06676247713347
2018-01,ACY,MCO,62,-3.1864406779661016,-1.6101694915254237,0.04838709677419355,59.0,114.65,MCO,249.74,47.661617757162134
2018-01,ACY,MYR,31,-4.392857142857143,-11.214285714285714,0.0967741935483871,28.0,114.65,MYR,268.41,22.393854392999398
2018-01,ACY,PBI,31,0.8,-1.0333333333333334,0.03225806451612903,30.0,114.65,PBI,334.01,23.182367606604448
2018-01,ACY,RSW,62,-4.0,-4.172413793103448,0.04838709677419355,59.0,114.65,RSW,311.75,46.12101260853743
2018-01,ACY,TPA,31,-5.166666666666667,-12.133333333333333,0.03225806451612903,30.0,114.65,TPA,308.88,23.48649904696506
2018-01,ADK,ANC,9,-10.5,-9.0,0.1111111111111111,8.0,1032.18,ANC,450.53,3.804072956720758
2018-01,ADQ,ANC,52,-11.25,-6.916666666666667,0.07692307692307693,48.0,537.0,ANC,450.53,28.096849318825665
2018-01,AGS,ATL,29,14.357142857142858,6.214285714285714,0.034482758620689655,28.0,448.02,ATL,360.85,17.87902234478967
2018-01,ALB,ATL,84,12.27710843373494,-8.108433734939759,0.011904761904761904,83.0,399.22,ATL,360.85,54.287910337036266
2018-01,ALB,BWI,148,6.394557823129252,2.748299319727891,0.006756756756756757,147.0,399.22,BWI,318.44,98.26663179917968
2018-01,ALB,CLT,66,3.671875,-1.109375,0.030303030303030304,64.0,399.22,CLT,425.77,40.523438375022856
2018-01,ALB,DEN,30,7.166666666666667,-12.233333333333333,0.0,30.0,399.22,DEN,302.55,20.22132469313815
2018-01,ALB,DTW,28,-3.357142857142857,-25.214285714285715,0.0,28.0,399.22,DTW,373.37,18.19819138048945
2018-01,ALB,FLL,60,7.677966101694915,4.220338983050848,0.016666666666666666,59.0,399.22,FLL,245.35,40.996879646224286
2018-01,ALB,MCO,90,14.311111111111112,9.622222222222222,0.0,90.0,399.22,MCO,249.74,62.38972377163099
2018-01,ALB,MDW,62,11.209677419354838,1.2950819672131149,0.0,62.0,399.22,MDW,305.63,41.7234277486672
2018-01,ALB,MSP,2,27.0,17.0,0.0,2.0,399.22,MSP,372.21,1.3006327920836356
2018-01,ALB,ORD,13,31.23076923076923,13.076923076923077,0.0,13.0,399.22,ORD,338.55,8.600404248985734
2018-01,ALB,RSW,3,-5.666666666666667,-4.0,0.0,3.0,399.22,RSW,311.75,2.012435003343377
2018-01,ALB,TPA,34,17.88235294117647,13.382352941176471,0.0,34.0,399.22,TPA,308.88,22.841768867114894
2018-01,AMA,DAL,117,0.5,-6.681034482758621,0.008547008547008548,116.0,421.49,DAL,303.32,77.29939051513179
2018-01,AMA,DFW,2,-6.0,-13.5,0.0,2.0,421.49,DFW,383.43,1.2790987860320489
2018-01,AMA,LAS,31,13.733333333333333,3.566666666666667,0.03225806451612903,30.0,421.49,LAS,240.35,20.672784884461233
2018-01,ANC,ADK,9,-7.0,-31.0,0.1111111111111111,8.0,450.53,ADK,1032.18,3.804072956720758
2018-01,ANC,ADQ,52,-7.22,-9.625,0.07692307692307693,48.0,450.53,ADQ,537.0,28.096849318825665
2018-01,ANC,BET,73,-3.5211267605633805,-13.67605633802817,0.0273972602739726,71.0,450.53,BET,364.94,45.1868435290314
2018-01,ANC,CDV,30,-7.933333333333334,-2.0,0.0,30.0,450.53,CDV,392.6,18.828876779511262
2018-01,ANC,DEN,39,27.81578947368421,10.263157894736842,0.02564102564102564,38.0,450.53,DEN,302.55,24.974823874827855
2018-01,ANC,FAI,86,-6.761904761904762,-4.940476190476191,0.023255813953488372,84.0,450.53,FAI,427.71,51.810972160299116
2018-01,ANC,HNL,31,-4.806451612903226,-20.774193548387096,0.0,31.0,450.53,HNL,374.36,19.635650315488476
2018-01,ANC,JNU,116,-2.6120689655172415,-8.79646017699115,0.0,116.0,450.53,JNU,426.39,71.59493993505286
2018-01,ANC,KOA,8,-7.625,-29.75,0.0,8.0,450.53,KOA,299.37,5.266629857180638
2018-01,ANC,LAS,7,4.714285714285714,4.142857142857143,0.0,7.0,450.53,LAS,240.35,4.755557179391181
2018-01,ANC,LAX,27,-4.962962962962963,-15.222222222222221,0.0,27.0,450.53,LAX,352.79,17.29028125959157
2018-01,ANC,MSP,21,-3.5,-22.0,0.047619047619047616,20.0,450.53,MSP,372.21,12.68192525037577
2018-01,ANC,OGG,18,-0.2777777777777778,-17.944444444444443,0.0,18.0,450.53,OGG,298.09,11.857880414577703
2018-01,ANC,OME,34,-5.606060606060606,-18.272727272727273,0.029411764705882353,33.0,450.53,OME,511.4,19.550055518794025
2018-01,ANC,ORD,8,16.75,-6.125,0.0,8.0,450.53,ORD,338.55,5.160549989915402
2018-01,ANC,OTZ,56,-1.2,-6.925925925925926,0.03571428571428571,54.0,450.53,OTZ,461.31,32.765883973862266
2018-01,ANC,PDX,64,-5.109375,-7.34375,0.0,64.0,450.53,PDX,329.09,41.4861576053951
2018-01,ANC,PHX,14,-5.5,-11.5,0.0,14.0,450.53,PHX,338.57,9.030869629487162
2018-01,ANC,SCC,62,-3.6451612903225805,-7.360655737704918,0.0,62.0,450.53,SCC,399.21,38.78478022542532
2018-01,ANC,SEA,445,-4.429213483146067,-9.444943820224719,0.0,445.0,450.53,SEA,337.31,287.2386982609358
2018-01,ANC,SFO,7,1.0,7.285714285714286,0.0,7.0,450.53,SFO,379.43,4.422537919084583
2018-01,ATL,ABE,30,3.6,-6.266666666666667,0.0,30.0,360.85,ABE,322.7,20.400370317817433
2018-01,ATL,ABQ,50,10.673469387755102,-6.448979591836735,0.02,49.0,360.85,ABQ,345.6,32.929752322728
2018-01,ATL,AGS,30,10.96551724137931,4.310344827586207,0.03333333333333333,29.0,360.85,AGS,448.02,18.51755885710359
2018-01,ATL,ALB,84,11.795180722891565,2.0963855421686746,0.011904761904761904,83.0,360.85,ALB,399.22,54.287910337036266
2018-01,ATL,ATW,31,5.258064516129032,-9.129032258064516,0.0,31.0,360.85,ATW,446.46,19.80967229638797
2018-01,ATL,AUS,303,8.966216216216216,-2.4054054054054053,0.0231023102310231,296.0,360.85,AUS,341.51,199.34020689460132
2018-01,ATL,AVL,59,14.403508771929825,10.228070175438596,0.03389830508474576,57.0,360.85,AVL,359.64,38.03251987148082
2018-01,ATL,AVP,27,-0.38461538461538464,-12.0,0.037037037037037035,26.0,360.85,AVP,412.32,16.8955096953679
