ORGIN_AIPORT_ID,Description,Code.y
10001,"Afognak Lake, AK: Afognak Lake Airport",01A
10003,"Granite Mountain, AK: Bear Creek Mining Strip",03A
10004,"Lik, AK: Lik Mining Camp",04A
10005,"Little Squaw, AK: Little Squaw Airport",05A
10006,"Kizhuyak, AK: Kizhuyak Bay",06A
10007,"Klawock, AK: Klawock Seaplane Base",07A
10008,"Elizabeth Island, AK: Elizabeth Island Airport",08A
10009,"Homer, AK: Augustin Island",09A
10010,"Hudson, NY: Columbia County",1B1
10011,"Peach Springs, AZ: Grand Canyon West",1G4
10011,"Peach Springs, AZ: Grand Canyon West",DQR
10012,"Blairstown, NJ: Blairstown Airport",1N7
10013,"Crosbyton, TX: Crosbyton Municipal",8F3
10014,"Fairbanks/Ft. Wainwright, AK: Blair Lake",A01
10015,"Deadmans Bay, AK: Deadmans Bay Airport",A02
10016,"Hallo Bay, AK: Hallo Bay Airport",A03
10017,"Red Lake, AK: Red Lake Airport",A04
10018,"Shell Lake, AK: Shell Lake Airport",A05
10019,"Kougarok, AK: Navigator Airstrip",A06
10020,"Selawik, AK: Roland Norton Memorial",A07
10021,"Pillar Bay, AK: Pillar Bay Airport",A08
10022,"Johnstone Point, AK: Johnstone Point Airport",A09
10023,"Tikchik Lodge, AK: Tikchik Lodge Airport",KTH
10023,"Tikchik Lodge, AK: Tikchik Lodge Airport",TLK
10024,"Bell Creek, AK: Bell Creek Airport",A11
10025,"Cinnabar, AK: Cinnabar Airport",A12
10026,"Mountaintop Mine, AK: Mountaintop Mine Airport",A13
10027,"Whitebear, AK: Whitebear Airport",A14
10028,"Puviaq, AK: Puviaq Airport",A15
10029,"Arley Lake, AK: Arley Lake Airport",A16
10030,"Port Vita, AK: Port Vita Airport",A17
10031,"Kantishna, AK: Kantishna Airport",A18
10033,"Alpine, AK: Alpine Airstrip",A20
10033,"Alpine, AK: Alpine Airstrip",DQH
10034,"Serpentine, AK: Serpentine Airport",A21
10035,"Driftwood Bay, AK: Driftwood Bay Airport",A22
10036,"Bradley Lake, AK: Bradley Lake Airport",A23
10037,"Chilkat Lake, AK: Chilkat Lake Airport",A24
10038,"Nugget Creek, AK: Nugget Creek Airport",A25
10039,"Ivotuk, AK: Ivotuk Airstrip",A26
10040,"Pogo Mines, AK: Pogo Mines Airport",A27
10041,"Ayakulik River, AK: Ayakulik River Airport",A28
10042,"Kiluda Bay, AK: Kiluda Bay Airport",A29
10043,"Terror Lake, AK: Terror Lake Airport",A30
10044,"Selief Bay, AK: Selief Bay Airport",A31
10047,"Laura Lake, AK: Laura Lake Airport",A34
10049,"Deep Bay, AK: Deep Bay Airport",A36
10050,"Kako, AK: Kako Airport",A37
10051,"Molly Creek, AK: Molly Creek Airport",A38
10052,"Ptarmigan Lake, AK: Ptarmigan Lake Airport",A39
10053,"Cape Simpson, AK: Cape Simpson Airport",A40
10054,"Kogru River, AK: Kogru River Airport",A41
10055,"Teshepkuk Lake, AK: Teshepkuk Lake Airport",A42
10056,"Kodiak Island, AK: Trident Basin Seaplane Base",A43
10058,"Lake Florence, AK: Lake Florence Airport",A45
10059,"Lake Hasselborg, AK: Lake Hasselborg Airport",A46
10060,"Distin Lake, AK: Distin Lake Airport",A47
10061,"Port Hobron, AK: Port Hobron Airport",A48
10062,"Mooseville Airstrip, AK: Mooseville Airstrip Airport",A49
10063,"Big Bay, AK: Big Bay Airport",A50
10064,"Wien Lake, AK: Wien Lake Airport",A51
10065,"Silver Salmon Creek, AK: Silver Salmon Creek Airport",A52
10066,"Blear Lake, AK: Blear Lake Airport",A53
10067,"Cannery Bay, AK: Cannery Bay Airport",A54
10069,"Bear Lake, AK: Johnsons Landing",A56
10070,"International Seafoods, AK: International Seafoods Airport",A57
10070,"International Seafoods, AK: International Seafoods Airport",VZK
10071,"Cosna River, AK: Cosna River Airport",A58
10072,"Ivatuk, AK: Ivatuk Airport",A59
10074,"Cape Sarichef, AK: Cape Sarichef Airport",A61
10075,"Taylor Mountain Mine, AK: Taylor Mountain",A62
10076,"Yukon Charley Rivvers, AK: Coal Creek",A63
10078,"Karluk Portage, AK: Karluk Portage Airport",A65
10079,"Hope, AK: Hope Airport",A66
10080,"Viekoda Bay, AK: Viekoda Bay Airport",A67
10082,"Cold Bay, AK: Cathedral Strip",A69
10083,"Village Islands, AK: Village Islands Airport",A70
10084,"Homer, AK: Bear Cove Farm",A71
10085,"Chinitna Bay, AK: Chinitna Bay Airport",A72
10086,"McKinley Park, AK: McKinley National Park",A73
10087,"Nanwalek, AK: Dog Fish Bay",A74
10088,"Malina Bay, AK: Malina Bay Airport",A75
10089,"Red Fox Bay, AK: Red Fox Bay Airport",A76
10090,"Shearwater, AK: Shearwater Airport",A77
10091,"Cape Simpson, AK: Lake",A78
10092,"Cape Simpson, AK: Cape Simpson No. 1",A79
10093,"Cape Simpson, AK: Cape Simpson No. 7",A80
10094,"Aglaq, AK: Cape Simpson #1",A81
10095,"Nikiski, AK: Nikiski Private Airstrip",A82
10096,"Petrof Point, AK: Petrof Point Airport",A83
10097,"Denali, AK: Denali West Lodge Private",A84
10098,"Big River, AK: Big River Airport",A85
10100,"Carry Inlet, AK: Carry Inlet Airport",A87
10102,"Montague Island, AK: Montague Island Airport",A89
10103,"Shannon Pond, AK: Shannon Pond Airport",A90
10104,"Omalik Lagoon, AK: Omalik Lagoon Airport",A91
10105,"Omolik Lagoon, AK: Omolik Lagoon Airport",A92
10106,"Bradley Lake Project, AK: Bradley Lake Project Airport",A93
10107,"Barrow, AK: Ice Strip",A94
10107,"Barrow, AK: Ice Strip",A95
10107,"Barrow, AK: Ice Strip",A96
10108,"Barrow, AK: Ice Strip",A94
10108,"Barrow, AK: Ice Strip",A95
10108,"Barrow, AK: Ice Strip",A96
10109,"Barrow, AK: Ice Strip",A94
10109,"Barrow, AK: Ice Strip",A95
10109,"Barrow, AK: Ice Strip",A96
10110,"Akulik, AK: Akulik Air Strip",A97
10111,"Deadfall, AK: Deadfall Air Strip",A98
10112,"Eagle Creek, AK: Eagle Creek Airport",A99
10113,"Bethel, AK: Ice Kong",AA1
10116,"Kachemak Bay, AK: Glacier Split",AA4
10117,"Selby Lake, AK: Selby Lake Airport",AA5
10118,"Anaa, French Polynesia: Anaa Airport",AAA
10119,"Arrabury, Australia: Arrabury Station",AAB
10120,"El Arish, Egypt: El Arish International",AAC
10121,"Annaba, Algeria: Rabah Bitat",AAE
10122,"Apalachicola, FL: Apalachicola Regional Cleve Randolph Field",AAF
10123,"Aachen, Germany: Aachen Merzbrueck",AAH
10124,"Arraias, Brazil: Arraias Airport",AAI
10125,"Aalborg, Denmark: Aalborg Airport",AAL
10126,"Mala Mala, South Africa: Malamala",AAM
10127,"Al Ain, United Arab Emirates: Al Ain International",AAN
10128,"Anaco, Venezuela: Anaco Airport",AAO
10129,"Anapa, Russia: Vityazevo",AAQ
10130,"Aarhus, Denmark: Aarhus Airport",AAR
10131,"Asau, Samoa: Asau W Sam",AAU
10132,"Araxa, Brazil: Romeu Zema",AAX
10134,"Abadan, Iran: Abadan Airport",ABD
10135,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",ABE
10136,"Abilene, TX: Abilene Regional",ABI
10137,"Abidjan, Cote d'Ivoire: Felix Houphouet Boigny Abidjan International",ABJ
10138,"Kabri Dar, Ethiopia: Kebri Dahar",ABK
10139,"Ambler, AK: Ambler River",ABL
10140,"Albuquerque, NM: Albuquerque International Sunport",ABQ
10141,"Aberdeen, SD: Aberdeen Regional",ABR
10142,"Abu Simbel, Egypt: Abu Simbel Airport",ABS
10143,"Al-Baha, Saudi Arabia: King Saud Bin Abdulaziz",ABT
10144,"Abuja, Nigeria: Nnamdi Azikiwe International",ABV
10145,"Albury, Australia: Albury Airport",ABX
10146,"Albany, GA: Southwest Georgia Regional",ABY
10147,"Aberdeen, United Kingdom: Aberdeen Dyce",ABZ
10148,"Acapulco, Mexico: General Juan N Alvarez International",ACA
10149,"Bellaire, MI: Antrim County",ACB
10150,"Accra, Ghana: Accra Kotoka International",ACC
10151,"Arrecife, Spain: Lanzarote",ACE
10152,"Altenrhein, Switzerland: St Gallen Altenrhein",ACH
10153,"Alderney, United Kingdom: Alderney Airport",ACI
10154,"Nantucket, MA: Nantucket Memorial",ACK
10155,"Waco, TX: Waco Regional",ACT
10156,"Achutupo, Panama: Achutupo Airport",ACU
10157,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",ACV
10158,"Atlantic City, NJ: Atlantic City International",ACY
10159,"Adana, Turkey: Adana International",ADA
10160,"Izmir, Turkey: Adnan Menderes",ADB
10161,"Andakombe, Papua New Guinea: Andakombe Airport",ADC
10162,"Addis Ababa, Ethiopia: Bole International",ADD
10163,"Aden, Yemen: Aden International",ADE
10164,"Amman, Jordan: Marka International",ADJ
10165,"Adak Island, AK: Adak",ADK
10166,"Adelaide, Australia: Adelaide International",ADL
10167,"Ardmore, OK: Ardmore Municipal",ADM
10168,"Andes, Colombia: Andes Airport",ADN
10169,"Andamooka, Australia: Andamooka Airport",ADO
10170,"Kodiak, AK: Kodiak Airport",ADQ
10171,"Dallas, TX: Addison",ADS
10172,"Camp Springs, MD: Joint Base Andrews",ADW
10172,"Camp Springs, MD: Joint Base Andrews",NSF
10173,"St Andrews, United Kingdom: RAF Leuchars",ADX
10174,"San Andres Island, Colombia: Gustavo Rojas Pinilla",ADZ
10175,"Al Dhafra, United Arab Emirates: Al Dhafra Air Base",DHF
10176,"Aleneva, AK: Aleneva Airport",AED
10177,"Padang Sidempuan, Indonesia: Aek Godang",AEG
10178,"Abeche, Chad: Abeche Airport",AEH
10180,"Aioun El Atrouss, Mauritania: Aioun El Atrouss Airport",AEO
10181,"Buenos Aires, Argentina: Aeroparque Jorge Newbery",AEP
10182,"Adler/Sochi, Russia: Adler/Sochi Airport",AER
10183,"Aalesund, Norway: Vigra",AES
10184,"Allakaket, AK: Allakaket Airport",AET
10185,"Alexandria, LA: Alexandria International",AEX
10186,"Akureyri, Iceland: Akureyri Airport",AEY
10188,"San Rafael, Argentina: San Rafael Airport",AFA
10189,"Colorado Springs, CO: USAF Academy Airfield",AFF
10190,"Nebraska, NE: Nebraska City Municipal",AFK
10191,"Afton, WY: Afton Municipal",AFO
10192,"Wadesboro, NC: Anson County Jeff Cloud Field",AFP
10194,"Dallas/Fort Worth, TX: Fort Worth Alliance",AFW
10195,"Afyon, Turkey: Afyon Airport",AFY
10196,"Agadir, Morocco: Inezgane",AGA
10197,"Augsburg, Germany: Augsburg Airport",AGB
10198,"Pittsburgh, PA: Allegheny County",AGC
10199,"Agen, France: Agen La Garenne",AGF
10200,"Angoram, Papua New Guinea: Angoram Airport",AGG
10201,"Angelholm/Helsingborg, Sweden: Angelholm",AGH
10202,"Kagua, Papua New Guinea: Kagua Airport",AGK
10203,"Wanigela, Papua New Guinea: Wanigela Airport",AGL
10204,"Angoon, AK: Angoon Seaplane Base",AGN
10205,"Malaga, Spain: Malaga Airport",AGP
10206,"Agrinion, Greece: Agrinion Airport",AGQ
10207,"Agra, India: Agra Airport",AGR
10208,"Augusta, GA: Augusta Regional at Bush Field",AGS
10209,"Ciudad del Este, Paraguay: Guarani International",AGT
10210,"Aguascalientes, Mexico: Jesus Teran International",AGU
10211,"Acarigua, Venezuela: Oswaldo Guevara Mujica",AGV
10212,"Agatti Island, India: Agatti Island Airport",AGX
10213,"Okinawa, Japan: Naha AB",AHA
10214,"Abha, Saudi Arabia: Abha Airport",AHB
10215,"Ardmore, OK: Ardmore Downtown Executive",AHD
10216,"Athens, GA: Athens/Ben Epps",AHN
10217,"Alghero/Sassari, Italy: Alghero",AHO
10218,"Ahuas, Honduras: Auas",AHS
10219,"Amchitka Island, AK: Amchitka",AHT
10220,"Al Hoceima, Morocco: Cherif El Idrissi International",AHU
10221,"Alliance, NE: Alliance Municipal",AIA
10222,"Anita Bay, AK: Anita Bay Airport",AIB
10223,"Anderson, IN: Anderson Municipal-Darlington Field",AID
10224,"Aiken, SC: Aiken Regional",AIK
10225,"Wainwright, AK: Wainwright Airport",AIN
10226,"Aitutaki, Cook Islands: Aitutaki Airport",AIT
10227,"Atlantic City, NJ: Bader Field",AIY
10228,"Lake of the Ozarks, MO: Lee C Fine Memorial",AIZ
10229,"Ajaccio, France: Ajaccio Napoleon Bonaparte",AJA
10230,"Jouf, Saudi Arabia: Al Jouf",AJF
10231,"Akjoujt, Mauritania: Akjoujt Airport",AJJ
10232,"Aizwal, India: Lengpui",AJL
10233,"Anjouan, Comoros: Ouani",AJN
10234,"Arvidsjaur, Sweden: Arvidsjaur Airport",AJR
10235,"Aracaju, Brazil: Santa Maria International",AJU
10236,"Agades, Niger: Mano Dayak",AJY
10237,"Atka, AK: Atka Airport",AKB
10238,"Akron, OH: Akron Fulton International",AKC
10239,"Kufrah, Libya: Kufra",AKF
10241,"Akiak, AK: Akiak Airport",AKI
10242,"Asahikawa, Japan: Asahikawa Airport",AKJ
10243,"Akhiok, AK: Akhiok Airport",AKK
